date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2024-09-20,early,1168,1168,0,0,1168,1168,false,1
2024-09-21,early,0,1168,0,0,0,1168,false,1
2024-09-22,early,0,1168,0,0,0,1168,false,1
2024-09-23,early,570,1738,0,0,570,1738,false,1
2024-09-24,early,457,2195,20,20,477,2215,false,1
2024-09-25,early,347,2542,44,64,391,2606,false,1
2024-09-26,early,301,2843,385,449,686,3292,false,1
2024-09-27,early,439,3282,469,918,908,4200,false,1
2024-09-28,early,0,3282,63,981,63,4263,false,1
2024-09-29,early,0,3282,45,1026,45,4308,false,1
2024-09-30,early,337,3619,938,1964,1275,5583,false,1
2024-10-01,early,290,3909,139,2103,429,6012,false,1
2024-10-02,early,357,4266,516,2619,873,6885,false,1
2024-10-03,early,423,4689,290,2909,713,7598,false,1
2024-10-04,early,547,5236,328,3237,875,8473,false,1
2024-10-05,early,848,6084,252,3489,1100,9573,false,1
2024-10-06,early,0,6084,0,3489,0,9573,false,1
2024-10-07,early,421,6505,548,4037,969,10542,false,1
2024-10-08,early,295,6800,77,4114,372,10914,false,1
2024-10-09,early,330,7130,400,4514,730,11644,false,1
2024-10-10,early,309,7439,203,4717,512,12156,false,1
2024-10-11,early,568,8007,307,5024,875,13031,false,1
2024-10-12,early,891,8898,259,5283,1150,14181,false,1
2024-10-13,early,0,8898,39,5322,39,14220,false,1
2024-10-14,early,651,9549,38,5360,689,14909,false,1
2024-10-15,early,420,9969,344,5704,764,15673,false,1
2024-10-16,early,418,10387,216,5920,634,16307,false,1
2024-10-17,early,371,10758,360,6280,731,17038,false,1
2024-10-18,early,0,10758,410,6690,410,17448,false,1
2024-10-19,early,1725,12483,0,6690,1725,19173,false,1
2024-10-20,early,0,12483,29,6719,29,19202,false,1
2024-10-21,early,1642,14125,269,6988,1911,21113,false,1
2024-10-22,early,1376,15501,467,7455,1843,22956,false,1
2024-10-23,early,1276,16777,565,8020,1841,24797,false,1
2024-10-24,early,1323,18100,308,8328,1631,26428,false,1
2024-10-25,early,1424,19524,288,8616,1712,28140,false,1
2024-10-26,early,2896,22420,303,8919,3199,31339,false,1
2024-10-27,early,1239,23659,15,8934,1254,32593,false,1
2024-10-28,early,1680,25339,337,9271,2017,34610,false,1
2024-10-29,early,1551,26890,169,9440,1720,36330,false,1
2024-10-30,early,1695,28585,491,9931,2186,38516,false,1
2024-10-31,early,1749,30334,304,10235,2053,40569,false,1
2024-11-01,early,1939,32273,71,10306,2010,42579,false,1
2024-11-02,early,4089,36362,262,10568,4351,46930,false,1
2024-11-03,election,0,36362,136,10704,136,47066,false,1
2024-11-04,election,1,36363,897,11601,898,47964,false,1
2024-11-05,election,0,36363,314,11915,314,48278,false,1
2024-11-06,post,0,36363,318,12233,318,48596,false,1
2024-11-07,post,0,36363,290,12523,290,48886,false,1
2024-11-08,post,0,36363,44,12567,44,48930,false,1
2024-11-09,post,0,36363,0,12567,0,48930,false,1
2024-11-10,post,0,36363,0,12567,0,48930,false,1
