date,total_mailed
2022-09-23,56420
2022-09-24,
2022-09-25,
2022-09-26,926
2022-09-27,295
2022-09-28,268
2022-09-29,342
2022-09-30,24
2022-10-01,
2022-10-02,
2022-10-03,1185
2022-10-04,388
2022-10-05,471
2022-10-06,231
2022-10-07,433
2022-10-08,
2022-10-09,
2022-10-10,921
2022-10-11,971
2022-10-12,1128
2022-10-13,1338
2022-10-14,1426
2022-10-15,
2022-10-16,
2022-10-17,810
2022-10-18,1917
2022-10-19,1241
2022-10-20,893
2022-10-21,514
2022-10-22,
2022-10-23,
2022-10-24,916
2022-10-25,1065
2022-10-26,662
2022-10-27,675
2022-10-28,698
2022-10-29,0
2022-10-30,0
2022-10-31,2
2022-11-01,112
2022-11-02,0
2022-11-03,0
2022-11-04,66
2022-11-05,0
2022-11-06,
2022-11-07,0
2022-11-08,0
