date,total_returned
2022-09-23,0
2022-09-24,
2022-09-25,
2022-09-26,1
2022-09-27,1
2022-09-28,1
2022-09-29,20
2022-09-30,484
2022-10-01,
2022-10-02,
2022-10-03,4289
2022-10-04,264
2022-10-05,31
2022-10-06,4006
2022-10-07,1232
2022-10-08,
2022-10-09,
2022-10-10,5
2022-10-11,3183
2022-10-12,33
2022-10-13,2576
2022-10-14,57
2022-10-15,
2022-10-16,
2022-10-17,84
2022-10-18,1724
2022-10-19,3468
2022-10-20,1141
2022-10-21,1055
2022-10-22,
2022-10-23,
2022-10-24,2834
2022-10-25,125
2022-10-26,50
2022-10-27,2675
2022-10-28,1243
2022-10-29,0
2022-10-30,
2022-10-31,3107
2022-11-01,203
2022-11-02,1842
2022-11-03,1302
2022-11-04,1407
2022-11-05,1278
2022-11-06,
2022-11-07,2222
2022-11-08,1097
2022-11-09,2336
2022-11-10,284
2022-11-11,
2022-11-12,128
2022-11-13,
2022-11-14,52
