date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-13,pre,0,0,5,5,5,5,false,1
2023-09-14,pre,0,0,0,5,0,5,false,1
2023-09-15,pre,0,0,-1,4,-1,4,true,1
2023-09-16,pre,0,0,0,4,0,4,false,1
2023-09-17,pre,0,0,0,4,0,4,false,1
2023-09-18,pre,0,0,-3,1,-3,1,true,1
2023-09-19,pre,0,0,-1,0,-1,0,true,1
2023-09-20,pre,0,0,0,0,0,0,false,1
2023-09-21,pre,0,0,0,0,0,0,false,1
2023-09-22,early,19,19,2,2,21,21,false,1
2023-09-23,early,0,19,0,2,0,21,false,1
2023-09-24,early,0,19,0,2,0,21,false,1
2023-09-25,early,1,20,7,9,8,29,false,1
2023-09-26,early,18,38,11,20,29,58,false,1
2023-09-27,early,13,51,0,20,13,71,false,1
2023-09-28,early,34,85,46,66,80,151,false,1
2023-09-29,early,0,85,11,77,11,162,false,1
2023-09-30,early,0,85,0,77,0,162,false,2
2023-10-01,early,0,85,0,77,0,162,false,2
2023-10-02,early,0,85,21,98,21,183,false,1
2023-10-03,early,0,85,12,110,12,195,false,1
2023-10-04,early,-47,38,-90,20,-137,58,true,1
2023-10-05,early,142,180,112,132,254,312,false,1
2023-10-06,early,0,180,8,140,8,320,false,1
2023-10-07,early,0,180,0,140,0,320,false,1
2023-10-08,early,0,180,0,140,0,320,false,1
2023-10-09,early,0,180,0,140,0,320,false,1
2023-10-10,early,70,250,73,213,143,463,false,1
2023-10-11,early,9,259,3,216,12,475,false,1
2023-10-12,early,16,275,8,224,24,499,false,1
2023-10-13,early,51,326,23,247,74,573,false,1
2023-10-14,early,0,326,0,247,0,573,false,1
2023-10-15,early,0,326,0,247,0,573,false,1
2023-10-16,early,0,326,11,258,11,584,false,1
2023-10-17,early,36,362,10,268,46,630,false,1
2023-10-18,early,57,419,0,268,57,687,false,1
2023-10-19,early,15,434,15,283,30,717,false,1
2023-10-20,early,0,434,23,306,23,740,false,1
2023-10-21,early,0,434,0,306,0,740,false,1
2023-10-22,early,0,434,0,306,0,740,false,1
2023-10-23,early,67,501,16,322,83,823,false,1
2023-10-24,early,68,569,11,333,79,902,false,1
2023-10-25,early,0,569,5,338,5,907,false,1
2023-10-26,early,56,625,5,343,61,968,false,1
2023-10-27,early,26,651,27,370,53,1021,false,1
2023-10-28,early,64,715,1,371,65,1086,false,1
2023-10-29,early,0,715,0,371,0,1086,false,1
2023-10-30,early,115,830,19,390,134,1220,false,1
2023-10-31,early,0,830,30,420,30,1250,false,1
2023-11-01,early,0,830,16,436,16,1266,false,1
2023-11-02,early,2,832,18,454,20,1286,false,1
2023-11-03,early,541,1373,35,489,576,1862,false,1
2023-11-04,early,0,1373,0,489,0,1862,false,1
2023-11-05,election,262,1635,0,489,262,2124,false,1
2023-11-06,election,2,1637,43,532,45,2169,false,1
2023-11-07,election,0,1637,82,614,82,2251,false,1
2023-11-08,post,0,1637,39,653,39,2290,false,1
2023-11-09,post,0,1637,4,657,4,2294,false,1
2023-11-10,post,0,1637,0,657,0,2294,false,1
2023-11-11,post,0,1637,0,657,0,2294,false,1
2023-11-12,post,0,1637,0,657,0,2294,false,1
