date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2024-09-18,pre,0,0,3,3,3,3,false,1
2024-09-19,pre,0,0,2,5,2,5,false,1
2024-09-20,early,2351,2351,2,7,2353,2358,false,1
2024-09-21,early,0,2351,0,7,0,2358,false,1
2024-09-22,early,0,2351,0,7,0,2358,false,1
2024-09-23,early,1468,3819,0,7,1468,3826,false,1
2024-09-24,early,1139,4958,32,39,1171,4997,false,1
2024-09-25,early,942,5900,79,118,1021,6018,false,1
2024-09-26,early,923,6823,179,297,1102,7120,false,1
2024-09-27,early,1222,8045,1094,1391,2316,9436,false,1
2024-09-28,early,0,8045,0,1391,0,9436,false,1
2024-09-29,early,0,8045,0,1391,0,9436,false,1
2024-09-30,early,855,8900,1484,2875,2339,11775,false,1
2024-10-01,early,716,9616,1358,4233,2074,13849,false,1
2024-10-02,early,755,10371,1508,5741,2263,16112,false,1
2024-10-03,early,1102,11473,800,6541,1902,18014,false,1
2024-10-04,early,1672,13145,881,7422,2553,20567,false,1
2024-10-05,early,0,13145,0,7422,0,20567,false,1
2024-10-06,early,0,13145,59,7481,59,20626,false,1
2024-10-07,early,1044,14189,1529,9010,2573,23199,false,1
2024-10-08,early,937,15126,417,9427,1354,24553,false,1
2024-10-09,early,981,16107,1021,10448,2002,26555,false,1
2024-10-10,early,1016,17123,779,11227,1795,28350,false,1
2024-10-11,early,2160,19283,612,11839,2772,31122,false,1
2024-10-12,early,0,19283,20,11859,20,31142,false,1
2024-10-13,early,0,19283,22,11881,22,31164,false,1
2024-10-14,early,0,19283,0,11881,0,31164,false,1
2024-10-15,early,1869,21152,1035,12916,2904,34068,false,1
2024-10-16,early,1336,22488,883,13799,2219,36287,false,1
2024-10-17,early,1505,23993,995,14794,2500,38787,false,1
2024-10-18,early,2197,26190,997,15791,3194,41981,false,1
2024-10-19,early,0,26190,107,15898,107,42088,false,1
2024-10-20,early,0,26190,0,15898,0,42088,false,1
2024-10-21,early,5103,31293,1578,17476,6681,48769,false,1
2024-10-22,early,5294,36587,651,18127,5945,54714,false,1
2024-10-23,early,3910,40497,1026,19153,4936,59650,false,1
2024-10-24,early,5001,45498,844,19997,5845,65495,false,1
2024-10-25,early,5349,50847,842,20839,6191,71686,false,1
2024-10-26,early,6116,56963,786,21625,6902,78588,false,1
2024-10-27,early,0,56963,1,21626,1,78589,false,1
2024-10-28,early,4682,61645,1284,22910,5966,84555,false,1
2024-10-29,early,5813,67458,583,23493,6396,90951,false,1
2024-10-30,early,4542,72000,840,24333,5382,96333,false,1
2024-10-31,early,5583,77583,1092,25425,6675,103008,false,1
2024-11-01,early,6659,84242,1053,26478,7712,110720,false,1
2024-11-02,early,7347,91589,922,27400,8269,118989,false,1
2024-11-03,election,0,91589,0,27400,0,118989,false,1
2024-11-04,election,0,91589,1458,28858,1458,120447,false,1
2024-11-05,election,0,91589,1378,30236,1378,121825,false,1
2024-11-06,post,0,91589,1032,31268,1032,122857,false,1
2024-11-07,post,0,91589,327,31595,327,123184,false,1
2024-11-08,post,0,91589,66,31661,66,123250,false,1
2024-11-09,post,0,91589,0,31661,0,123250,false,1
2024-11-10,post,0,91589,0,31661,0,123250,false,1
