date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2025-09-19,early,865,865,0,0,865,865,false,1
2025-09-20,early,0,865,0,0,0,865,false,1
2025-09-21,early,0,865,0,0,0,865,false,1
2025-09-22,early,538,1403,0,0,538,1403,false,1
2025-09-23,early,475,1878,0,0,475,1878,false,1
2025-09-24,early,6,1884,0,0,6,1884,false,1
2025-09-25,early,649,2533,40,40,689,2573,false,1
2025-09-26,early,522,3055,407,447,929,3502,false,3
2025-09-27,early,0,3055,0,447,0,3502,false,3
2025-09-28,early,0,3055,19,466,19,3521,false,3
2025-09-29,early,400,3455,0,466,400,3921,false,1
2025-09-30,early,328,3783,208,674,536,4457,false,1
2025-10-01,early,410,4193,535,1209,945,5402,false,1
2025-10-02,early,503,4696,374,1583,877,6279,false,1
2025-10-03,early,692,5388,633,2216,1325,7604,false,1
2025-10-04,early,0,5388,0,2216,0,7604,false,1
2025-10-05,early,0,5388,0,2216,0,7604,false,1
2025-10-06,early,442,5830,734,2950,1176,8780,false,1
2025-10-07,early,420,6250,249,3199,669,9449,false,1
2025-10-08,early,277,6527,521,3720,798,10247,false,1
2025-10-09,early,389,6916,300,4020,689,10936,false,1
2025-10-10,early,675,7591,49,4069,724,11660,false,1
2025-10-11,early,0,7591,0,4069,0,11660,false,1
2025-10-12,early,0,7591,0,4069,0,11660,false,1
2025-10-13,early,438,8029,233,4302,671,12331,false,1
2025-10-14,early,496,8525,346,4648,842,13173,false,1
2025-10-15,early,405,8930,792,5440,1197,14370,false,1
2025-10-16,early,299,9229,529,5969,828,15198,false,1
2025-10-17,early,781,10010,187,6156,968,16166,false,1
2025-10-18,early,0,10010,0,6156,0,16166,false,1
2025-10-19,early,0,10010,0,6156,0,16166,false,1
2025-10-20,early,607,10617,627,6783,1234,17400,false,1
2025-10-21,early,1426,12043,789,7572,2215,19615,false,1
2025-10-22,early,1240,13283,227,7799,1467,21082,false,1
2025-10-23,early,2,13285,312,8111,314,21396,false,1
2025-10-24,early,2057,15342,197,8308,2254,23650,false,1
2025-10-25,early,2864,18206,0,8308,2864,26514,false,1
2025-10-26,early,1248,19454,0,8308,1248,27762,false,1
2025-10-27,early,659,20113,231,8539,890,28652,false,1
2025-10-28,early,1745,21858,778,9317,2523,31175,false,1
2025-10-29,early,1765,23623,182,9499,1947,33122,false,1
2025-10-30,early,1949,25572,140,9639,2089,35211,false,1
2025-10-31,early,1577,27149,201,9840,1778,36989,false,1
2025-11-01,early,5075,32224,0,9840,5075,42064,false,1
2025-11-02,election,0,32224,0,9840,0,42064,false,1
2025-11-03,election,0,32224,1137,10977,1137,43201,false,1
2025-11-04,election,0,32224,535,11512,535,43736,false,1
2025-11-05,post,0,32224,662,12174,662,44398,false,1
2025-11-06,post,0,32224,785,12959,785,45183,false,1
2025-11-07,post,0,32224,8,12967,8,45191,false,1
2025-11-08,post,0,32224,0,12967,0,45191,false,1
2025-11-09,post,0,32224,0,12967,0,45191,false,1
