date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-22,early,862,862,0,0,862,862,false,1
2023-09-23,early,0,862,0,0,0,862,false,1
2023-09-24,early,0,862,0,0,0,862,false,1
2023-09-25,early,618,1480,0,0,618,1480,false,1
2023-09-26,early,494,1974,2,2,496,1976,false,1
2023-09-27,early,465,2439,77,79,542,2518,false,1
2023-09-28,early,475,2914,1,80,476,2994,false,1
2023-09-29,early,624,3538,645,725,1269,4263,false,1
2023-09-30,early,0,3538,669,1394,669,4932,false,2
2023-10-01,early,0,3538,0,1394,0,4932,false,2
2023-10-02,early,513,4051,1157,2551,1670,6602,false,1
2023-10-03,early,452,4503,59,2610,511,7113,false,1
2023-10-04,early,839,5342,1074,3684,1913,9026,true,2
2023-10-05,early,0,5342,0,3684,0,9026,true,2
2023-10-06,early,658,6000,348,4032,1006,10032,false,1
2023-10-07,early,0,6000,0,4032,0,10032,false,1
2023-10-08,early,0,6000,0,4032,0,10032,false,1
2023-10-09,early,405,6405,27,4059,432,10464,false,1
2023-10-10,early,557,6962,23,4082,580,11044,false,1
2023-10-11,early,557,7519,937,5019,1494,12538,false,1
2023-10-12,early,512,8031,796,5815,1308,13846,false,1
2023-10-13,early,714,8745,475,6290,1189,15035,false,1
2023-10-14,early,0,8745,0,6290,0,15035,false,1
2023-10-15,early,0,8745,0,6290,0,15035,false,1
2023-10-16,early,697,9442,851,7141,1548,16583,false,1
2023-10-17,early,596,10038,2,7143,598,17181,false,1
2023-10-18,early,563,10601,65,7208,628,17809,false,1
2023-10-19,early,628,11229,848,8056,1476,19285,false,1
2023-10-20,early,851,12080,351,8407,1202,20487,false,1
2023-10-21,early,0,12080,0,8407,0,20487,false,1
2023-10-22,early,1239,13319,1,8408,1240,21727,false,1
2023-10-23,early,726,14045,805,9213,1531,23258,false,1
2023-10-24,early,822,14867,54,9267,876,24134,false,1
2023-10-25,early,928,15795,498,9765,1426,25560,false,1
2023-10-26,early,891,16686,348,10113,1239,26799,false,1
2023-10-27,early,1352,18038,355,10468,1707,28506,false,1
2023-10-28,early,1660,19698,332,10800,1992,30498,false,1
2023-10-29,early,0,19698,0,10800,0,30498,false,1
2023-10-30,early,1195,20893,636,11436,1831,32329,false,1
2023-10-31,early,1215,22108,78,11514,1293,33622,false,1
2023-11-01,early,1230,23338,306,11820,1536,35158,false,1
2023-11-02,early,1524,24862,752,12572,2276,37434,false,1
2023-11-03,early,2671,27533,439,13011,3110,40544,false,1
2023-11-04,early,4127,31660,515,13526,4642,45186,false,1
2023-11-05,election,0,31660,0,13526,0,45186,false,1
2023-11-06,election,0,31660,933,14459,933,46119,false,1
2023-11-07,election,1,31661,179,14638,180,46299,false,1
2023-11-08,post,0,31661,473,15111,473,46772,false,1
2023-11-09,post,-1,31660,1086,16197,1085,47857,true,1
2023-11-10,post,0,31660,66,16263,66,47923,false,1
2023-11-11,post,0,31660,0,16263,0,47923,false,1
2023-11-12,post,0,31660,0,16263,0,47923,false,1
