date,total_returned_dropbox
2023-09-22,0
2023-09-23,0
2023-09-24,
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,15
2023-09-29,83
2023-09-30,
2023-10-01,
2023-10-02,213
2023-10-03,73
2023-10-04,109
2023-10-05,135
2023-10-06,70
2023-10-07,
2023-10-08,
2023-10-09,167
2023-10-10,122
2023-10-11,102
2023-10-12,108
2023-10-13,101
2023-10-14,
2023-10-15,
2023-10-16,188
2023-10-17,84
2023-10-18,108
2023-10-19,102
2023-10-20,98
2023-10-21,
2023-10-22,
2023-10-23,173
2023-10-24,94
2023-10-25,85
2023-10-26,392
2023-10-27,392
2023-10-28,318
2023-10-29,151
2023-10-30,492
2023-10-31,351
2023-11-01,336
2023-11-02,460
2023-11-03,529
2023-11-04,882
2023-11-05,
2023-11-06,0
2023-11-07,0
