date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2025-09-19,early,632,632,0,0,632,632,false,1
2025-09-20,early,0,632,0,0,0,632,false,1
2025-09-21,early,0,632,0,0,0,632,false,1
2025-09-22,early,376,1008,1,1,377,1009,false,1
2025-09-23,early,361,1369,0,1,361,1370,false,1
2025-09-24,early,227,1596,4,5,231,1601,false,1
2025-09-25,early,235,1831,16,21,251,1852,false,1
2025-09-26,early,339,2170,567,588,906,2758,false,3
2025-09-27,early,0,2170,0,588,0,2758,false,3
2025-09-28,early,0,2170,0,588,0,2758,false,3
2025-09-29,early,267,2437,0,588,267,3025,false,1
2025-09-30,early,234,2671,658,1246,892,3917,false,1
2025-10-01,early,296,2967,610,1856,906,4823,false,1
2025-10-02,early,336,3303,433,2289,769,5592,false,1
2025-10-03,early,439,3742,293,2582,732,6324,false,1
2025-10-04,early,0,3742,30,2612,30,6354,false,1
2025-10-05,early,0,3742,31,2643,31,6385,false,1
2025-10-06,early,361,4103,352,2995,713,7098,false,1
2025-10-07,early,304,4407,343,3338,647,7745,false,1
2025-10-08,early,246,4653,352,3690,598,8343,false,1
2025-10-09,early,323,4976,235,3925,558,8901,false,1
2025-10-10,early,514,5490,166,4091,680,9581,false,1
2025-10-11,early,0,5490,16,4107,16,9597,false,1
2025-10-12,early,0,5490,16,4123,16,9613,false,1
2025-10-13,early,0,5490,8,4131,8,9621,false,1
2025-10-14,early,417,5907,461,4592,878,10499,false,1
2025-10-15,early,328,6235,44,4636,372,10871,false,1
2025-10-16,early,313,6548,187,4823,500,11371,false,1
2025-10-17,early,496,7044,48,4871,544,11915,false,1
2025-10-18,early,1124,8168,332,5203,1456,13371,false,1
2025-10-19,early,0,8168,26,5229,26,13397,false,1
2025-10-20,early,437,8605,387,5616,824,14221,false,1
2025-10-21,early,329,8934,21,5637,350,14571,false,1
2025-10-22,early,356,9290,225,5862,581,15152,false,1
2025-10-23,early,371,9661,238,6100,609,15761,false,1
2025-10-24,early,996,10657,203,6303,1199,16960,false,1
2025-10-25,early,1904,12561,98,6401,2002,18962,false,1
2025-10-26,early,648,13209,-7,6394,641,19603,true,1
2025-10-27,early,1147,14356,90,6484,1237,20840,false,1
2025-10-28,early,995,15351,245,6729,1240,22080,false,1
2025-10-29,early,1003,16354,198,6927,1201,23281,false,1
2025-10-30,early,1080,17434,191,7118,1271,24552,false,1
2025-10-31,early,1459,18893,229,7347,1688,26240,false,1
2025-11-01,early,3043,21936,161,7508,3204,29444,false,1
2025-11-02,election,0,21936,52,7560,52,29496,false,1
2025-11-03,election,1,21937,269,7829,270,29766,false,1
2025-11-04,election,0,21937,4,7833,4,29770,false,1
2025-11-05,post,0,21937,375,8208,375,30145,false,1
2025-11-06,post,0,21937,292,8500,292,30437,false,1
2025-11-07,post,0,21937,1,8501,1,30438,false,1
2025-11-08,post,0,21937,0,8501,0,30438,false,1
2025-11-09,post,0,21937,0,8501,0,30438,false,1
