date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2023-09-22,early,160,160,0,0,160,160,false,1
2023-09-23,early,0,160,0,0,0,160,false,1
2023-09-24,early,0,160,0,0,0,160,false,1
2023-09-25,early,122,282,1,1,123,283,false,1
2023-09-26,early,50,332,2,3,52,335,false,1
2023-09-27,early,75,407,0,3,75,410,false,1
2023-09-28,early,63,470,2,5,65,475,false,1
2023-09-29,early,0,470,2,7,2,477,false,1
2023-09-30,early,0,470,0,7,0,477,false,2
2023-10-01,early,0,470,0,7,0,477,false,2
2023-10-02,early,240,710,117,124,357,834,false,1
2023-10-03,early,98,808,516,640,614,1448,false,1
2023-10-04,early,153,961,587,1227,740,2188,true,2
2023-10-05,early,0,961,0,1227,0,2188,true,2
2023-10-06,early,111,1072,250,1477,361,2549,false,1
2023-10-07,early,0,1072,0,1477,0,2549,false,1
2023-10-08,early,0,1072,0,1477,0,2549,false,1
2023-10-09,early,63,1135,269,1746,332,2881,false,1
2023-10-10,early,100,1235,462,2208,562,3443,false,1
2023-10-11,early,107,1342,53,2261,160,3603,false,1
2023-10-12,early,96,1438,455,2716,551,4154,false,1
2023-10-13,early,167,1605,250,2966,417,4571,false,1
2023-10-14,early,0,1605,0,2966,0,4571,false,1
2023-10-15,early,0,1605,0,2966,0,4571,false,1
2023-10-16,early,145,1750,343,3309,488,5059,false,1
2023-10-17,early,128,1878,170,3479,298,5357,false,1
2023-10-18,early,119,1997,222,3701,341,5698,false,1
2023-10-19,early,118,2115,215,3916,333,6031,false,1
2023-10-20,early,222,2337,207,4123,429,6460,false,1
2023-10-21,early,0,2337,0,4123,0,6460,false,1
2023-10-22,early,0,2337,0,4123,0,6460,false,1
2023-10-23,early,185,2522,382,4505,567,7027,false,1
2023-10-24,early,479,3001,134,4639,613,7640,false,1
2023-10-25,early,384,3385,66,4705,450,8090,false,1
2023-10-26,early,408,3793,282,4987,690,8780,false,1
2023-10-27,early,287,4080,313,5300,600,9380,false,1
2023-10-28,early,945,5025,0,5300,945,10325,false,1
2023-10-29,early,496,5521,0,5300,496,10821,false,1
2023-10-30,early,269,5790,569,5869,838,11659,false,1
2023-10-31,early,615,6405,77,5946,692,12351,false,1
2023-11-01,early,548,6953,334,6280,882,13233,false,1
2023-11-02,early,850,7803,236,6516,1086,14319,false,1
2023-11-03,early,802,8605,273,6789,1075,15394,false,1
2023-11-04,early,2625,11230,0,6789,2625,18019,false,1
2023-11-05,election,41,11271,0,6789,41,18060,false,1
2023-11-06,election,0,11271,664,7453,664,18724,false,1
2023-11-07,election,0,11271,680,8133,680,19404,false,1
2023-11-08,post,0,11271,794,8927,794,20198,false,1
2023-11-09,post,0,11271,432,9359,432,20630,false,1
2023-11-10,post,0,11271,0,9359,0,20630,false,1
2023-11-11,post,0,11271,0,9359,0,20630,false,1
2023-11-12,post,0,11271,0,9359,0,20630,false,1
