date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2024-09-20,early,415,415,0,0,415,415,false,1
2024-09-21,early,0,415,0,0,0,415,false,1
2024-09-22,early,0,415,0,0,0,415,false,1
2024-09-23,early,175,590,0,0,175,590,false,1
2024-09-24,early,135,725,13,13,148,738,false,1
2024-09-25,early,150,875,22,35,172,910,false,1
2024-09-26,early,139,1014,70,105,209,1119,false,1
2024-09-27,early,125,1139,51,156,176,1295,false,1
2024-09-28,early,0,1139,0,156,0,1295,false,1
2024-09-29,early,0,1139,0,156,0,1295,false,1
2024-09-30,early,127,1266,212,368,339,1634,false,1
2024-10-01,early,104,1370,15,383,119,1753,false,1
2024-10-02,early,110,1480,58,441,168,1921,false,1
2024-10-03,early,180,1660,46,487,226,2147,false,1
2024-10-04,early,204,1864,72,559,276,2423,false,1
2024-10-05,early,0,1864,0,559,0,2423,false,1
2024-10-06,early,0,1864,1,560,1,2424,false,1
2024-10-07,early,138,2002,100,660,238,2662,false,1
2024-10-08,early,101,2103,1,661,102,2764,false,1
2024-10-09,early,124,2227,90,751,214,2978,false,1
2024-10-10,early,110,2337,42,793,152,3130,false,1
2024-10-11,early,173,2510,28,821,201,3331,false,1
2024-10-12,early,0,2510,0,821,0,3331,false,1
2024-10-13,early,131,2641,39,860,170,3501,false,1
2024-10-14,early,0,2641,0,860,0,3501,false,1
2024-10-15,early,170,2811,52,912,222,3723,false,1
2024-10-16,early,151,2962,40,952,191,3914,false,1
2024-10-17,early,168,3130,63,1015,231,4145,false,1
2024-10-18,early,197,3327,49,1064,246,4391,false,1
2024-10-19,early,0,3327,0,1064,0,4391,false,1
2024-10-20,early,1,3328,1,1065,2,4393,false,1
2024-10-21,early,205,3533,129,1194,334,4727,false,1
2024-10-22,early,193,3726,34,1228,227,4954,false,1
2024-10-23,early,220,3946,44,1272,264,5218,false,1
2024-10-24,early,201,4147,45,1317,246,5464,false,1
2024-10-25,early,284,4431,33,1350,317,5781,false,1
2024-10-26,early,396,4827,31,1381,427,6208,false,1
2024-10-27,early,0,4827,0,1381,0,6208,false,1
2024-10-28,early,305,5132,75,1456,380,6588,false,1
2024-10-29,early,318,5450,40,1496,358,6946,false,1
2024-10-30,early,286,5736,50,1546,336,7282,false,1
2024-10-31,early,318,6054,37,1583,355,7637,false,1
2024-11-01,early,492,6546,69,1652,561,8198,false,1
2024-11-02,early,522,7068,46,1698,568,8766,false,1
2024-11-03,election,0,7068,0,1698,0,8766,false,1
2024-11-04,election,0,7068,65,1763,65,8831,false,1
2024-11-05,election,1,7069,5,1768,6,8837,false,1
2024-11-06,post,0,7069,0,1768,0,8837,false,1
2024-11-07,post,-1,7068,124,1892,123,8960,true,1
2024-11-08,post,0,7068,2,1894,2,8962,false,1
2024-11-09,post,0,7068,0,1894,0,8962,false,1
2024-11-10,post,0,7068,0,1894,0,8962,false,1
