date,phase,early_in_person_daily,early_in_person_cumulative,mail_returned_daily,mail_returned_cumulative,combined_daily,combined_cumulative,is_correction,span_days
2025-09-19,early,96,96,9,9,105,105,false,1
2025-09-20,early,0,96,0,9,0,105,false,1
2025-09-21,early,0,96,0,9,0,105,false,1
2025-09-22,early,79,175,7,16,86,191,false,1
2025-09-23,early,0,175,20,36,20,211,false,1
2025-09-24,early,83,258,11,47,94,305,false,1
2025-09-25,early,56,314,47,94,103,408,false,1
2025-09-26,early,56,370,36,130,92,500,false,3
2025-09-27,early,0,370,0,130,0,500,false,3
2025-09-28,early,0,370,0,130,0,500,false,3
2025-09-29,early,0,370,0,130,0,500,false,1
2025-09-30,early,101,471,10,140,111,611,false,1
2025-10-01,early,0,471,14,154,14,625,false,1
2025-10-02,early,104,575,20,174,124,749,false,1
2025-10-03,early,0,575,46,220,46,795,false,1
2025-10-04,early,0,575,0,220,0,795,false,1
2025-10-05,early,0,575,0,220,0,795,false,1
2025-10-06,early,136,711,32,252,168,963,false,1
2025-10-07,early,51,762,6,258,57,1020,false,1
2025-10-08,early,41,803,42,300,83,1103,false,1
2025-10-09,early,42,845,43,343,85,1188,false,1
2025-10-10,early,113,958,9,352,122,1310,false,1
2025-10-11,early,0,958,0,352,0,1310,false,1
2025-10-12,early,0,958,0,352,0,1310,false,1
2025-10-13,early,0,958,0,352,0,1310,false,1
2025-10-14,early,105,1063,14,366,119,1429,false,1
2025-10-15,early,69,1132,34,400,103,1532,false,1
2025-10-16,early,57,1189,17,417,74,1606,false,1
2025-10-17,early,105,1294,43,460,148,1754,false,1
2025-10-18,early,0,1294,0,460,0,1754,false,1
2025-10-19,early,0,1294,0,460,0,1754,false,1
2025-10-20,early,84,1378,39,499,123,1877,false,1
2025-10-21,early,74,1452,8,507,82,1959,false,1
2025-10-22,early,76,1528,11,518,87,2046,false,1
2025-10-23,early,105,1633,15,533,120,2166,false,1
2025-10-24,early,123,1756,63,596,186,2352,false,1
2025-10-25,early,183,1939,5,601,188,2540,false,1
2025-10-26,early,56,1995,0,601,56,2596,false,1
2025-10-27,early,114,2109,22,623,136,2732,false,1
2025-10-28,early,154,2263,8,631,162,2894,false,1
2025-10-29,early,187,2450,28,659,215,3109,false,1
2025-10-30,early,193,2643,8,667,201,3310,false,1
2025-10-31,early,350,2993,22,689,372,3682,false,1
2025-11-01,early,558,3551,33,722,591,4273,false,1
2025-11-02,election,0,3551,0,722,0,4273,false,1
2025-11-03,election,4,3555,52,774,56,4329,false,1
2025-11-04,election,1,3556,71,845,72,4401,false,1
2025-11-05,post,0,3556,0,845,0,4401,false,1
2025-11-06,post,0,3556,26,871,26,4427,false,1
2025-11-07,post,0,3556,1,872,1,4428,false,1
2025-11-08,post,0,3556,0,872,0,4428,false,1
2025-11-09,post,0,3556,0,872,0,4428,false,1
