date,total_returned_dropbox
2020-09-18,1
2020-09-19,26
2020-09-20,
2020-09-21,137
2020-09-22,457
2020-09-23,561
2020-09-24,852
2020-09-25,1289
2020-09-26,302
2020-09-27,57
2020-09-28,1380
2020-09-29,1097
2020-09-30,1177
2020-10-01,1072
2020-10-02,1406
2020-10-03,380
2020-10-04,388
2020-10-05,1137
2020-10-06,1513
2020-10-07,1311
2020-10-08,950
2020-10-09,1271
2020-10-10,763
2020-10-11,
2020-10-12,1443
2020-10-13,1581
2020-10-14,3912
2020-10-15,4141
2020-10-16,3178
2020-10-17,4830
2020-10-18,1171
2020-10-19,3041
2020-10-20,3041
2020-10-21,2462
2020-10-22,3178
2020-10-23,2557
2020-10-24,4001
2020-10-25,
2020-10-26,2742
2020-10-27,3374
2020-10-28,3547
2020-10-29,3108
2020-10-30,3919
2020-10-31,5222
2020-11-01,
2020-11-02,1153
2020-11-03,6164
