date,total_returned
2023-09-22,0
2023-09-23,0
2023-09-24,
2023-09-25,2
2023-09-26,1
2023-09-27,1
2023-09-28,1
2023-09-29,9
2023-09-30,
2023-10-01,
2023-10-02,2541
2023-10-03,156
2023-10-04,9
2023-10-05,3198
2023-10-06,1071
2023-10-07,
2023-10-08,
2023-10-09,0
2023-10-10,824
2023-10-11,1436
2023-10-12,2233
2023-10-13,1022
2023-10-14,
2023-10-15,
2023-10-16,2198
2023-10-17,46
2023-10-18,9
2023-10-19,2278
2023-10-20,699
2023-10-21,
2023-10-22,
2023-10-23,1904
2023-10-24,30
2023-10-25,21
2023-10-26,2282
2023-10-27,694
2023-10-28,0
2023-10-29,
2023-10-30,2432
2023-10-31,170
2023-11-01,9
2023-11-02,2538
2023-11-03,1198
2023-11-04,1228
2023-11-05,
2023-11-06,0
2023-11-07,0
2023-11-08,0
2023-11-09,0
2023-11-10,
2023-11-11,0
2023-11-12,
2023-11-13,0
