date,total_mailed
2020-09-18,63726
2020-09-19,89701
2020-09-20,
2020-09-21,4137
2020-09-22,5362
2020-09-23,5293
2020-09-24,2913
2020-09-25,6152
2020-09-26,
2020-09-27,
2020-09-28,8216
2020-09-29,8704
2020-09-30,4871
2020-10-01,4000
2020-10-02,4821
2020-10-03,99
2020-10-04,
2020-10-05,5860
2020-10-06,7537
2020-10-07,5121
2020-10-08,2912
2020-10-09,4154
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,5724
2020-10-14,3009
2020-10-15,2230
2020-10-16,4079
2020-10-17,
2020-10-18,
2020-10-19,4678
2020-10-20,3144
2020-10-21,2786
2020-10-22,2896
2020-10-23,2584
2020-10-24,2273
2020-10-25,
2020-10-26,1293
2020-10-27,27
2020-10-28,490
2020-10-29,85
2020-10-30,34
2020-10-31,0
2020-11-01,
2020-11-02,71
