date,total_returned_dropbox
2021-09-17,1
2021-09-18,
2021-09-19,
2021-09-20,5
2021-09-21,122
2021-09-22,103
2021-09-23,208
2021-09-24,116
2021-09-25,
2021-09-26,
2021-09-27,297
2021-09-28,374
2021-09-29,92
2021-09-30,249
2021-10-01,158
2021-10-02,
2021-10-03,
2021-10-04,351
2021-10-05,336
2021-10-06,87
2021-10-07,230
2021-10-08,121
2021-10-09,
2021-10-10,
2021-10-11,331
2021-10-12,303
2021-10-13,115
2021-10-14,342
2021-10-15,166
2021-10-16,
2021-10-17,
2021-10-18,476
2021-10-19,275
2021-10-20,321
2021-10-21,278
2021-10-22,1143
2021-10-23,107
2021-10-24,501
2021-10-25,1813
2021-10-26,882
2021-10-27,1027
2021-10-28,590
2021-10-29,1242
2021-10-30,2165
2021-10-31,
2021-11-01,618
2021-11-02,3672
