LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
Alexandria City,09-Nov-2025 05:00:02,2590,0,115,836,1214,21937,7287,2,8501,30555,371,1052,0,187,351,0,133,617,0,17181,11967,1407
Alexandria City,10-Nov-2025 05:00:02,2590,0,115,836,1214,21937,7287,2,8501,30555,371,1052,0,187,351,0,133,617,0,17181,11967,1407
Arlington County,17-Sep-2025 22:01:55,0,15797,0,294,0,0,0,0,0,0,338,1856,0,0,0,0,0,0,0,0,0,0
Arlington County,18-Sep-2025 05:00:02,15853,0,0,324,0,0,0,0,0,0,337,1859,0,0,0,0,331,1832,0,0,0,0
Arlington County,19-Sep-2025 05:00:02,15956,0,0,327,0,0,0,0,0,0,336,1867,0,0,0,0,331,1839,0,0,0,0
Arlington County,20-Sep-2025 05:00:01,16030,0,0,378,0,865,0,0,0,865,345,1878,0,6,7,0,332,1838,0,608,221,36
Arlington County,21-Sep-2025 05:00:03,16028,0,0,380,0,865,0,0,0,865,345,1878,0,6,7,0,332,1838,0,608,221,36
Arlington County,22-Sep-2025 05:00:02,16153,0,0,386,0,865,0,0,0,865,350,1887,0,6,7,0,337,1844,0,608,221,36
Arlington County,23-Sep-2025 05:00:01,16242,0,0,453,0,1403,0,0,0,1403,350,1889,0,7,9,0,336,1840,0,997,357,49
Arlington County,24-Sep-2025 05:00:01,16303,0,0,484,0,1878,0,0,0,1878,353,1900,0,10,15,0,336,1842,0,1349,469,60
Arlington County,25-Sep-2025 05:00:02,16344,0,0,490,0,1884,0,0,0,1884,354,1902,0,10,15,0,337,1844,0,1352,472,60
Arlington County,26-Sep-2025 05:00:02,16430,0,0,533,40,2533,0,0,40,2573,361,1907,0,15,18,0,337,1843,0,1866,628,79
Arlington County,29-Sep-2025 17:00:02,16191,0,0,571,447,3055,0,0,447,3502,367,1914,0,22,25,0,336,1840,0,2516,884,102
Arlington County,29-Sep-2025 17:35:10,16172,0,0,571,466,3055,0,0,466,3521,367,1914,0,22,25,0,336,1840,0,2530,889,102
Arlington County,30-Sep-2025 05:00:02,16150,0,0,594,466,3455,0,0,466,3921,372,1917,0,25,28,0,337,1839,0,2813,999,109
Arlington County,01-Oct-2025 05:00:02,16002,0,0,620,674,3783,0,0,674,4457,374,1921,0,28,39,0,336,1831,0,3196,1139,122
Arlington County,02-Oct-2025 05:00:01,15483,0,0,646,1209,4193,0,0,1209,5402,376,1928,0,34,51,0,311,1810,0,3848,1408,146
Arlington County,03-Oct-2025 05:00:02,15192,0,0,675,1583,4696,0,0,1583,6279,383,1934,0,42,53,0,310,1813,0,4469,1641,169
Arlington County,04-Oct-2025 05:00:02,14543,0,0,708,2216,5388,0,0,2216,7604,392,1939,0,52,74,0,306,1797,0,5311,2077,216
Arlington County,05-Oct-2025 05:00:01,14599,0,0,708,2216,5388,0,0,2216,7604,392,1940,0,52,74,0,306,1798,0,5311,2077,216
