SOURCE_LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
ALEXANDRIA CITY,30-Oct-2023 06:00:02,4972,0,11,616,3550,4218,762,0,4312,8541,138,493,1,47,101,0
ALEXANDRIA CITY,31-Oct-2023 06:00:01,4726,0,12,626,2051,4678,2491,0,4542,9232,140,493,1,51,114,0
ALEXANDRIA CITY,01-Nov-2023 06:00:01,4702,0,13,632,1407,5098,3153,0,4560,9671,140,494,1,53,121,0
ALEXANDRIA CITY,02-Nov-2023 06:00:01,4673,0,16,641,565,5609,4013,0,4578,10203,141,496,1,54,122,0
ALEXANDRIA CITY,03-Nov-2023 06:00:01,4205,0,19,661,1015,6171,4013,0,5028,11218,143,497,1,58,130,0
ALEXANDRIA CITY,04-Nov-2023 06:00:01,3878,0,19,676,1322,6949,4013,0,5335,12303,145,499,1,61,137,0
ALEXANDRIA CITY,05-Nov-2023 06:00:01,3798,0,51,712,77,8473,5305,0,5382,13906,147,502,1,63,146,0
ALEXANDRIA CITY,06-Nov-2023 06:00:01,3785,0,56,712,90,8473,5305,0,5395,13924,147,502,1,63,146,0
ALEXANDRIA CITY,07-Nov-2023 06:00:01,3354,0,56,716,525,8480,5305,0,5830,14366,147,502,1,63,153,0
ALEXANDRIA CITY,08-Nov-2023 06:00:01,3059,0,56,716,820,8480,5305,0,6125,14661,147,502,1,66,158,0
ALEXANDRIA CITY,09-Nov-2023 06:00:02,2969,0,56,716,896,8480,5305,0,6201,14737,147,502,1,67,158,0
ALEXANDRIA CITY,10-Nov-2023 06:00:01,2572,0,56,716,1293,8480,5305,0,6598,15134,147,501,1,69,165,0
ALEXANDRIA CITY,11-Nov-2023 06:00:01,2572,0,56,716,1293,8480,5305,0,6598,15134,147,501,1,69,165,0
ALEXANDRIA CITY,12-Nov-2023 06:00:01,2572,0,56,716,1293,8480,5305,0,6598,15134,147,501,1,69,165,0
ALEXANDRIA CITY,13-Nov-2023 06:00:01,2572,0,56,716,1293,8480,5305,0,6598,15134,147,501,1,69,165,0
ARLINGTON COUNTY,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
ARLINGTON COUNTY,14-Sep-2023 12:01:00,0,12663,0,176,0,0,0,0,0,0,155,785,0,0,0,0
ARLINGTON COUNTY,15-Sep-2023 06:00:01,0,12673,0,187,0,0,0,0,0,0,155,787,0,0,0,0
ARLINGTON COUNTY,16-Sep-2023 06:00:01,0,12687,0,198,0,0,0,0,0,0,155,791,1,0,0,0
ARLINGTON COUNTY,17-Sep-2023 06:00:02,0,12687,0,198,0,0,0,0,0,0,155,791,1,0,0,0
ARLINGTON COUNTY,18-Sep-2023 06:00:01,0,12686,0,198,0,0,0,0,0,0,155,791,1,0,0,0
ARLINGTON COUNTY,19-Sep-2023 06:00:01,0,12720,0,208,0,0,0,0,0,0,156,801,1,0,0,0
ARLINGTON COUNTY,20-Sep-2023 06:00:01,12740,0,0,222,0,0,0,0,0,0,157,808,2,0,0,0
ARLINGTON COUNTY,21-Sep-2023 06:00:02,12766,0,0,236,0,0,0,0,0,0,157,811,2,0,0,0
ARLINGTON COUNTY,22-Sep-2023 06:00:01,12798,0,0,248,0,0,0,0,0,0,158,815,1,0,0,0
ARLINGTON COUNTY,23-Sep-2023 06:00:01,12840,0,0,263,0,160,0,0,0,160,159,821,1,1,0,0
ARLINGTON COUNTY,24-Sep-2023 06:00:01,12840,0,0,263,0,160,0,0,0,160,159,821,1,1,0,0
ARLINGTON COUNTY,25-Sep-2023 06:00:02,12840,0,0,263,0,160,0,0,0,160,159,821,1,1,0,0
ARLINGTON COUNTY,26-Sep-2023 06:00:01,12918,0,0,276,1,282,0,0,1,283,161,828,1,2,1,0
ARLINGTON COUNTY,27-Sep-2023 06:00:01,12792,0,0,384,3,332,0,0,3,335,161,835,1,5,2,0
ARLINGTON COUNTY,28-Sep-2023 06:00:01,12963,0,0,395,3,407,0,0,3,410,163,836,1,5,2,0
ARLINGTON COUNTY,29-Sep-2023 06:00:02,12998,0,0,404,5,470,0,0,5,475,163,839,1,5,4,0
ARLINGTON COUNTY,30-Sep-2023 06:00:01,13031,0,0,406,7,470,0,0,7,477,164,839,1,5,4,0
ARLINGTON COUNTY,02-Oct-2023 06:00:01,13031,0,0,406,7,470,0,0,7,477,164,839,1,5,4,0
ARLINGTON COUNTY,03-Oct-2023 06:00:02,12983,0,0,428,124,710,0,0,124,834,166,845,1,6,5,0
ARLINGTON COUNTY,04-Oct-2023 06:00:01,12479,0,0,438,640,808,0,0,640,1448,169,847,1,10,17,0
ARLINGTON COUNTY,05-Oct-2023 14:00:01,12087,0,0,441,921,808,0,0,921,1729,169,847,1,10,19,0
ARLINGTON COUNTY,05-Oct-2023 22:00:01,12792,0,0,384,3,332,0,0,3,335,161,835,1,5,2,0
ARLINGTON COUNTY,06-Oct-2023 06:00:01,12479,0,0,438,640,808,0,0,640,1448,169,847,1,10,17,0
ARLINGTON COUNTY,06-Oct-2023 14:00:02,11664,0,0,449,1227,961,0,0,1227,2188,169,851,1,10,24,0
ARLINGTON COUNTY,07-Oct-2023 06:00:01,11393,0,0,470,1477,1072,0,0,1477,2549,168,855,1,11,28,0
ARLINGTON COUNTY,08-Oct-2023 06:00:01,11393,0,0,470,1477,1072,0,0,1477,2549,168,855,1,11,28,0
ARLINGTON COUNTY,09-Oct-2023 06:00:02,11393,0,0,470,1477,1072,0,0,1477,2549,168,855,1,11,28,0
ARLINGTON COUNTY,10-Oct-2023 06:00:02,11250,0,0,494,1746,1135,0,0,1746,2881,171,867,1,15,37,0
ARLINGTON COUNTY,11-Oct-2023 06:00:01,10824,0,0,503,2208,1235,0,0,2208,3443,173,870,1,20,56,0
ARLINGTON COUNTY,12-Oct-2023 06:00:01,10773,0,0,516,2261,1342,0,0,2261,3603,174,872,1,22,56,0
ARLINGTON COUNTY,13-Oct-2023 06:00:02,10393,0,0,529,2716,1438,0,0,2716,4154,177,882,1,27,62,0
